dim,gpu_ms,cpu_ms,speedup,max_abs_diff,mean_abs_diff,rel_err,gpu_selected,timestamp
54,0.9175,0.5642,0.615,6.420910e-05,1.087407e-05,8.336791e-04,True,1775789300.6199656
54,0.8561,0.5070,0.592,5.859882e-06,8.512926e-07,2.613645e-04,True,1775789300.8069768
54,0.8796,0.5315,0.604,3.074296e-06,6.493235e-07,2.665524e-04,True,1775789300.9952111
54,0.9011,0.5703,0.633,3.490597e-06,5.843251e-07,4.712411e-04,True,1775789301.1867497
54,0.9311,0.5885,0.632,4.620850e-05,4.064459e-06,3.475853e-04,True,1775789302.057454
54,0.8805,0.5429,0.617,6.560236e-06,1.243149e-06,3.211063e-04,True,1775789302.2304068
54,0.8930,0.5668,0.635,5.870126e-06,1.053153e-06,4.995804e-04,True,1775789302.4037852
54,0.8595,0.5209,0.606,2.138782e-06,2.934358e-07,2.604050e-04,True,1775789302.5756383
54,0.8410,0.4977,0.592,2.756540e-06,3.085316e-07,3.831826e-04,True,1775789302.748855
54,0.8745,0.5247,0.600,1.381966e-06,2.185894e-07,3.007345e-04,True,1775789302.9243305
60,0.9745,0.6293,0.646,4.197005e-05,5.869969e-06,1.061124e-03,True,1775789303.7942784
60,0.9257,0.6076,0.656,5.514943e-06,1.245172e-06,5.897985e-04,True,1775789303.9830053
60,0.8759,0.5804,0.663,2.610963e-06,3.397253e-07,4.824893e-04,True,1775789304.1692002
60,0.8602,0.5536,0.644,2.378831e-06,3.123913e-07,6.290122e-04,True,1775789304.3557882
30,0.8919,0.5310,0.595,1.604110e-05,5.009811e-06,6.183319e-04,True,1775789305.1426456
30,0.8489,0.4875,0.574,8.901116e-06,2.254420e-06,9.641738e-04,True,1775789305.2519355
30,0.8108,0.4446,0.548,1.392094e-06,4.477921e-07,3.405075e-04,True,1775789305.3574073
30,0.7875,0.4070,0.517,1.706532e-06,2.482142e-07,4.540159e-04,True,1775789305.4614296
30,0.7752,0.3885,0.501,8.043135e-07,2.103352e-07,4.591761e-04,True,1775789305.5675719
30,0.7774,0.3808,0.490,8.185743e-07,2.374341e-07,5.675852e-04,True,1775789305.6719863
36,0.9206,0.5405,0.587,5.456433e-05,1.292993e-05,1.993301e-03,True,1775789306.42666
36,0.8536,0.4880,0.572,2.470333e-06,5.432783e-07,4.908799e-04,True,1775789306.547661
36,0.8133,0.4559,0.561,1.592154e-06,2.737210e-07,6.063449e-04,True,1775789306.6671588
36,0.8374,0.4674,0.558,1.356333e-06,3.526710e-07,9.256740e-04,True,1775789306.7850416
36,0.8908,0.5235,0.588,5.562417e-05,1.501060e-05,2.052322e-03,True,1775789307.5722618
36,0.8704,0.5095,0.585,8.615898e-07,2.818086e-07,2.165872e-04,True,1775789307.695103
36,0.8149,0.4684,0.575,1.635286e-06,3.080632e-07,4.054618e-04,True,1775789307.8196359
36,0.7883,0.4220,0.535,1.138542e-06,3.529848e-07,4.389044e-04,True,1775789307.9422207
30,0.8692,0.4976,0.573,1.559965e-05,4.441949e-06,3.556890e-04,True,1775789308.5863101
30,0.8223,0.4440,0.540,4.622154e-06,1.489382e-06,5.978167e-04,True,1775789308.6914427
30,0.8028,0.4022,0.501,2.780464e-06,8.501802e-07,6.036244e-04,True,1775789308.79728
30,0.7752,0.3904,0.504,7.257797e-06,1.711949e-06,1.417466e-03,True,1775789308.904113
30,0.7772,0.3852,0.496,4.538335e-06,9.478978e-07,8.864233e-04,True,1775789309.0098848
30,0.7802,0.3910,0.501,2.725516e-06,5.177448e-07,6.041862e-04,True,1775789309.114544
